year,quarter,month,flight_date,reporting_airline,tail_number,flight_number,origin,dest,crs_dep_time,dep_time,dep_delay_minutes,cancelled,cancellation_code,air_time,distance,weather_delay
2021,1,1,1/1/2021 12:00:00 AM,9E,N904XJ,5129,DTW,OMA,1420,1418,0.00,0.00,,96.00,651.00,0.00
2021,1,1,1/1/2021 12:00:00 AM,9E,N912XJ,4696,OMA,DTW,0629,0626,0.00,0.00,,89.00,651.00,
2021,1,1,1/1/2021 12:00:00 AM,9E,N913XJ,4826,ATL,OMA,0910,0909,0.00,0.00,,114.00,821.00,
2021,1,1,1/1/2021 12:00:00 AM,9E,N913XJ,4826,OMA,ATL,1121,1116,0.00,0.00,,118.00,821.00,
2021,1,1,1/1/2021 12:00:00 AM,9E,N915XJ,4897,ATL,OMA,1355,1353,0.00,0.00,,110.00,821.00,
2021,1,1,1/1/2021 12:00:00 AM,9E,N926XJ,4746,OMA,ATL,1400,1355,0.00,0.00,,108.00,821.00,0.00
2021,1,1,1/1/2021 12:00:00 AM,AS,N593AS,676,SEA,OMA,0830,0826,0.00,0.00,,164.00,1368.00,
2021,1,1,1/1/2021 12:00:00 AM,AS,N593AS,677,OMA,SEA,1440,1438,0.00,0.00,,189.00,1368.00,
2021,1,1,1/1/2021 12:00:00 AM,DL,N970AT,1053,ATL,OMA,1750,1817,27.00,0.00,,116.00,821.00,0.00
2021,1,1,1/1/2021 12:00:00 AM,DL,N996AT,1464,OMA,ATL,0600,0601,1.00,0.00,,117.00,821.00,
2021,1,1,1/1/2021 12:00:00 AM,F9,N329FR,182,DEN,OMA,1649,1655,6.00,0.00,,65.00,472.00,
2021,1,1,1/1/2021 12:00:00 AM,F9,N329FR,183,OMA,DEN,2006,2010,4.00,0.00,,69.00,472.00,
2021,1,1,1/1/2021 12:00:00 AM,MQ,N202NN,4178,DFW,OMA,1640,1639,0.00,0.00,,73.00,583.00,
2021,1,1,1/1/2021 12:00:00 AM,MQ,N211NN,4136,DFW,OMA,1445,1520,35.00,0.00,,82.00,583.00,0.00
2021,1,1,1/1/2021 12:00:00 AM,MQ,N211NN,4136,OMA,DFW,1728,1737,9.00,0.00,,106.00,583.00,0.00
2021,1,1,1/1/2021 12:00:00 AM,MQ,N256NN,4172,DFW,OMA,1055,1054,0.00,0.00,,82.00,583.00,
2021,1,1,1/1/2021 12:00:00 AM,MQ,N256NN,4172,OMA,DFW,1338,1333,0.00,0.00,,91.00,583.00,
2021,1,1,1/1/2021 12:00:00 AM,MQ,N257NN,3725,DFW,OMA,2055,2055,0.00,0.00,,83.00,583.00,
2021,1,1,1/1/2021 12:00:00 AM,MQ,N282NN,4030,OMA,DFW,0913,0911,0.00,0.00,,95.00,583.00,
2021,1,1,1/1/2021 12:00:00 AM,MQ,N291NN,3714,OMA,DFW,0727,0724,0.00,0.00,,104.00,583.00,
2021,1,1,1/1/2021 12:00:00 AM,MQ,N622AE,3652,DFW,GRI,2050,2046,0.00,0.00,,74.00,561.00,
2021,1,1,1/1/2021 12:00:00 AM,MQ,N935AE,3742,DFW,GRI,1025,1021,0.00,0.00,,79.00,561.00,
2021,1,1,1/1/2021 12:00:00 AM,MQ,N935AE,3742,GRI,DFW,1250,1244,0.00,0.00,,88.00,561.00,
2021,1,1,1/1/2021 12:00:00 AM,OH,N564NN,5629,OMA,CLT,0626,0623,0.00,0.00,,145.00,913.00,
2021,1,1,1/1/2021 12:00:00 AM,OH,N596NN,5023,CLT,OMA,1301,1254,0.00,0.00,,132.00,913.00,
2021,1,1,1/1/2021 12:00:00 AM,OO,N116SY,4799,DEN,OMA,1125,1116,0.00,0.00,,67.00,472.00,
2021,1,1,1/1/2021 12:00:00 AM,OO,N116SY,5234,OMA,ORD,1500,,,1.00,B,,416.00,
2021,1,1,1/1/2021 12:00:00 AM,OO,N146SY,5338,OMA,DEN,0943,1006,23.00,0.00,,73.00,472.00,
2021,1,1,1/1/2021 12:00:00 AM,OO,N244SY,3526,OMA,MSP,0745,0743,0.00,0.00,,50.00,282.00,
2021,1,1,1/1/2021 12:00:00 AM,OO,N250SY,3577,MSP,OMA,1040,1037,0.00,0.00,,47.00,282.00,
2021,1,1,1/1/2021 12:00:00 AM,OO,N250SY,3887,OMA,SLC,1250,1249,0.00,0.00,,122.00,840.00,
2021,1,1,1/1/2021 12:00:00 AM,OO,N260SY,3662,SLC,OMA,1401,1358,0.00,0.00,,117.00,840.00,
2021,1,1,1/1/2021 12:00:00 AM,OO,N261SY,3646,OMA,SLC,0820,0816,0.00,0.00,,122.00,840.00,
2021,1,1,1/1/2021 12:00:00 AM,OO,N294SY,3631,MSP,OMA,1806,1759,0.00,0.00,,48.00,282.00,
2021,1,1,1/1/2021 12:00:00 AM,OO,N294SY,3784,SLC,OMA,0935,0933,0.00,0.00,,118.00,840.00,
2021,1,1,1/1/2021 12:00:00 AM,OO,N294SY,3886,OMA,MSP,1344,1336,0.00,0.00,,50.00,282.00,
2021,1,1,1/1/2021 12:00:00 AM,OO,N430SW,5058,DEN,EAR,1810,1801,0.00,0.00,,48.00,305.00,0.00
2021,1,1,1/1/2021 12:00:00 AM,OO,N457SW,4740,DEN,OMA,1800,1756,0.00,0.00,,66.00,472.00,
2021,1,1,1/1/2021 12:00:00 AM,OO,N603UX,4739,ORD,OMA,1950,1947,0.00,0.00,,66.00,416.00,0.00
2021,1,1,1/1/2021 12:00:00 AM,OO,N630SK,3176,PHX,OMA,2019,2013,0.00,0.00,,144.00,1037.00,
2021,1,1,1/1/2021 12:00:00 AM,OO,N679SA,5100,LBF,DEN,0815,0807,0.00,0.00,,40.00,228.00,
2021,1,1,1/1/2021 12:00:00 AM,OO,N722EV,2971,PHX,OMA,1034,1030,0.00,0.00,,139.00,1037.00,
2021,1,1,1/1/2021 12:00:00 AM,OO,N722EV,3216,OMA,PHX,1603,1555,0.00,0.00,,136.00,1037.00,
2021,1,1,1/1/2021 12:00:00 AM,OO,N746SK,3119,OMA,ORD,0545,0621,36.00,0.00,,66.00,416.00,0.00
2021,1,1,1/1/2021 12:00:00 AM,OO,N753SK,2995,OMA,ORD,1043,1203,80.00,0.00,,70.00,416.00,0.00
2021,1,1,1/1/2021 12:00:00 AM,OO,N753SK,2995,ORD,OMA,0825,0938,73.00,0.00,,57.00,416.00,0.00
2021,1,1,1/1/2021 12:00:00 AM,OO,N772SK,3120,ORD,OMA,1350,1347,0.00,0.00,,64.00,416.00,0.00
2021,1,1,1/1/2021 12:00:00 AM,OO,N778SK,3063,OMA,PHX,0630,0632,2.00,0.00,,138.00,1037.00,
