YEAR,QUARTER,MONTH,FL_DATE,OP_UNIQUE_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY_NEW,CANCELLED,CANCELLATION_CODE,AIR_TIME,DISTANCE,WEATHER_DELAY
2021,1,3,3/1/2021 12:00:00 AM,AA,N679AW,807,PHX,OMA,1955,1954,0.00,0.00,,134.00,1037.00,
2021,1,3,3/1/2021 12:00:00 AM,AA,N680AW,1288,OMA,PHX,0600,0555,0.00,0.00,,131.00,1037.00,
2021,1,3,3/1/2021 12:00:00 AM,AA,N715UW,2784,OMA,PHX,1609,1556,0.00,0.00,,143.00,1037.00,
2021,1,3,3/1/2021 12:00:00 AM,AA,N715UW,2784,PHX,OMA,1047,1044,0.00,0.00,,137.00,1037.00,
2021,1,3,3/1/2021 12:00:00 AM,AS,N403AS,676,SEA,OMA,0900,0910,10.00,0.00,,162.00,1368.00,
2021,1,3,3/1/2021 12:00:00 AM,AS,N403AS,677,OMA,SEA,1505,1500,0.00,0.00,,198.00,1368.00,
2021,1,3,3/1/2021 12:00:00 AM,DL,N946AT,1299,ATL,OMA,2110,2106,0.00,0.00,,121.00,821.00,
2021,1,3,3/1/2021 12:00:00 AM,DL,N995AT,1464,OMA,ATL,0600,0557,0.00,0.00,,106.00,821.00,
2021,1,3,3/1/2021 12:00:00 AM,F9,N213FR,182,DEN,OMA,1644,1636,0.00,0.00,,66.00,472.00,
2021,1,3,3/1/2021 12:00:00 AM,F9,N213FR,183,OMA,DEN,2001,1959,0.00,0.00,,70.00,472.00,
2021,1,3,3/1/2021 12:00:00 AM,F9,N236FR,2058,LAS,OMA,1155,1150,0.00,0.00,,142.00,1099.00,
2021,1,3,3/1/2021 12:00:00 AM,F9,N236FR,2059,OMA,LAS,1729,1724,0.00,0.00,,144.00,1099.00,
2021,1,3,3/1/2021 12:00:00 AM,G4,237NV,547,AZA,GRI,0650,0647,0.00,0.00,,122.00,905.00,
2021,1,3,3/1/2021 12:00:00 AM,G4,237NV,563,GRI,AZA,1047,1045,0.00,0.00,,116.00,905.00,
2021,1,3,3/1/2021 12:00:00 AM,G4,324NV,83,LAS,OMA,0615,0609,0.00,0.00,,135.00,1099.00,
2021,1,3,3/1/2021 12:00:00 AM,G4,324NV,84,OMA,LAS,1130,1121,0.00,0.00,,140.00,1099.00,
2021,1,3,3/1/2021 12:00:00 AM,MQ,N201NN,4178,DFW,OMA,1640,1641,1.00,0.00,,80.00,583.00,
2021,1,3,3/1/2021 12:00:00 AM,MQ,N249NN,3725,DFW,OMA,0855,0850,0.00,0.00,,79.00,583.00,
2021,1,3,3/1/2021 12:00:00 AM,MQ,N249NN,3725,OMA,DFW,1130,1121,0.00,0.00,,93.00,583.00,
2021,1,3,3/1/2021 12:00:00 AM,MQ,N262NN,3913,DFW,OMA,1055,1107,12.00,0.00,,76.00,583.00,0.00
2021,1,3,3/1/2021 12:00:00 AM,MQ,N262NN,3913,OMA,DFW,1340,1350,10.00,0.00,,102.00,583.00,
2021,1,3,3/1/2021 12:00:00 AM,MQ,N284JN,4030,OMA,DFW,0905,0901,0.00,0.00,,101.00,583.00,
2021,1,3,3/1/2021 12:00:00 AM,MQ,N289MW,3714,OMA,DFW,0723,0717,0.00,0.00,,99.00,583.00,0.00
2021,1,3,3/1/2021 12:00:00 AM,MQ,N300LK,4136,DFW,OMA,1445,1535,50.00,0.00,,83.00,583.00,0.00
2021,1,3,3/1/2021 12:00:00 AM,MQ,N613AE,3742,DFW,GRI,1040,1040,0.00,0.00,,77.00,561.00,
2021,1,3,3/1/2021 12:00:00 AM,MQ,N613AE,3742,GRI,DFW,1308,1301,0.00,0.00,,90.00,561.00,
2021,1,3,3/1/2021 12:00:00 AM,MQ,N664MS,3652,DFW,GRI,2050,2048,0.00,0.00,,81.00,561.00,
2021,1,3,3/1/2021 12:00:00 AM,MQ,N693AE,3907,GRI,DFW,0700,0651,0.00,0.00,,96.00,561.00,
2021,1,3,3/1/2021 12:00:00 AM,OH,N590NN,5648,CLT,OMA,1829,1822,0.00,0.00,,141.00,913.00,
2021,1,3,3/1/2021 12:00:00 AM,OH,N595NN,5629,OMA,CLT,0625,0628,3.00,0.00,,134.00,913.00,
2021,1,3,3/1/2021 12:00:00 AM,OH,N615NN,5023,OMA,CLT,1529,1521,0.00,0.00,,122.00,913.00,
2021,1,3,3/1/2021 12:00:00 AM,OH,N615NN,5138,CLT,OMA,1302,1301,0.00,0.00,,139.00,913.00,
2021,1,3,3/1/2021 12:00:00 AM,OO,N117SY,4708,DEN,OMA,1342,1338,0.00,0.00,,73.00,472.00,
2021,1,3,3/1/2021 12:00:00 AM,OO,N117SY,4754,OMA,ORD,1700,1652,0.00,0.00,,69.00,416.00,
2021,1,3,3/1/2021 12:00:00 AM,OO,N132SY,4724,DEN,OMA,1001,0959,0.00,0.00,,69.00,472.00,
2021,1,3,3/1/2021 12:00:00 AM,OO,N132SY,5784,OMA,DEN,1330,1324,0.00,0.00,,69.00,472.00,
2021,1,3,3/1/2021 12:00:00 AM,OO,N133SY,5357,OMA,ORD,1120,1133,13.00,0.00,,75.00,416.00,0.00
2021,1,3,3/1/2021 12:00:00 AM,OO,N133SY,5570,ORD,OMA,0900,0907,7.00,0.00,,68.00,416.00,0.00
2021,1,3,3/1/2021 12:00:00 AM,OO,N207SY,4730,OMA,DEN,1745,1735,0.00,0.00,,71.00,472.00,
2021,1,3,3/1/2021 12:00:00 AM,OO,N207SY,5284,ORD,OMA,1411,1403,0.00,0.00,,68.00,416.00,
2021,1,3,3/1/2021 12:00:00 AM,OO,N221PS,5131,EAR,ORD,0800,0748,0.00,0.00,,85.00,583.00,
2021,1,3,3/1/2021 12:00:00 AM,OO,N251SY,3662,SLC,OMA,1355,1355,0.00,0.00,,116.00,840.00,
2021,1,3,3/1/2021 12:00:00 AM,OO,N251SY,3768,OMA,SLC,1850,1839,0.00,0.00,,121.00,840.00,
2021,1,3,3/1/2021 12:00:00 AM,OO,N263SY,3646,OMA,SLC,0820,0817,0.00,0.00,,125.00,840.00,
2021,1,3,3/1/2021 12:00:00 AM,OO,N283SY,3574,MSP,OMA,2145,2140,0.00,0.00,,45.00,282.00,0.00
2021,1,3,3/1/2021 12:00:00 AM,OO,N287SY,3526,OMA,MSP,0745,0739,0.00,0.00,,54.00,282.00,
2021,1,3,3/1/2021 12:00:00 AM,OO,N287SY,3577,MSP,OMA,1045,1044,0.00,0.00,,44.00,282.00,
2021,1,3,3/1/2021 12:00:00 AM,OO,N287SY,3631,MSP,OMA,1555,1552,0.00,0.00,,45.00,282.00,
2021,1,3,3/1/2021 12:00:00 AM,OO,N287SY,3725,OMA,MSP,1805,1759,0.00,0.00,,60.00,282.00,
2021,1,3,3/1/2021 12:00:00 AM,OO,N287SY,3886,OMA,MSP,1315,1309,0.00,0.00,,51.00,282.00,
2021,1,3,3/1/2021 12:00:00 AM,OO,N298SY,4125,SLC,OMA,2040,2040,0.00,0.00,,109.00,840.00,
2021,1,3,3/1/2021 12:00:00 AM,OO,N435SW,5133,LBF,DEN,1127,1118,0.00,0.00,,38.00,228.00,
2021,1,3,3/1/2021 12:00:00 AM,OO,N457SW,5072,ORD,EAR,0930,1001,31.00,0.00,,82.00,583.00,
2021,1,3,3/1/2021 12:00:00 AM,OO,N457SW,5091,EAR,DEN,1215,1208,0.00,0.00,,51.00,305.00,
2021,1,3,3/1/2021 12:00:00 AM,OO,N471CA,5055,DEN,LBF,1350,1340,0.00,0.00,,37.00,228.00,
